child,relation,parent
GO:0008324,part_of,GO:0098655
GO:0015929,is_a,GO:0004553
GO:0001558,is_a,GO:0040008
GO:0001558,regulates,GO:0016049
GO:0001558,is_a,GO:0051128
GO:0098542,is_a,GO:0006952
GO:0098542,is_a,GO:0051707
GO:0044259,is_a,GO:0043170
GO:0044259,is_a,GO:0044236
GO:0048519,negatively_regulates,GO:0008150
GO:0048519,is_a,GO:0050789
GO:0006897,is_a,GO:0016192
GO:0044255,is_a,GO:0006629
GO:0044255,is_a,GO:0044237
GO:0001932,is_a,GO:0042325
GO:0001932,regulates,GO:0006468
GO:0001932,is_a,GO:0031399
GO:0034329,is_a,GO:0034330
GO:0034329,is_a,GO:0022607
GO:0044468,is_a,GO:0035738
GO:0044469,is_a,GO:0044468
GO:0044469,is_a,GO:0044483
GO:0046872,is_a,GO:0043169
GO:0072511,is_a,GO:0006812
GO:0016853,is_a,GO:0003824
GO:0044464,is_a,GO:0005575
GO:0044464,part_of,GO:0005623
GO:0044465,is_a,GO:0051930
GO:0044465,is_a,GO:0035821
GO:0044500,is_a,GO:0044498
GO:0035737,is_a,GO:0051705
GO:0035738,is_a,GO:0035737
GO:1902305,regulates,GO:0035725
GO:1902305,is_a,GO:1904062
GO:1902305,is_a,GO:0002028
GO:0045921,is_a,GO:0017157
GO:0045921,positively_regulates,GO:0006887
GO:0045921,is_a,GO:1903532
GO:0045926,is_a,GO:0048519
GO:0045926,is_a,GO:0040008
GO:0045926,negatively_regulates,GO:0040007
GO:0060341,is_a,GO:0032879
GO:0060341,regulates,GO:0051641
GO:0031589,is_a,GO:0007155
GO:0018108,is_a,GO:0006468
GO:0018108,is_a,GO:0018212
GO:0042592,is_a,GO:0065008
GO:0022407,regulates,GO:0098609
GO:0022407,is_a,GO:0030155
GO:0061041,is_a,GO:1903034
GO:0061041,regulates,GO:0042060
GO:0071944,is_a,GO:0044464
GO:0008217,part_of,GO:0008015
GO:0008217,is_a,GO:0065008
GO:0061045,is_a,GO:0061041
GO:0061045,is_a,GO:0032102
GO:0061045,is_a,GO:1903035
GO:0061045,negatively_regulates,GO:0042060
GO:0007271,is_a,GO:0007268
GO:0008219,is_a,GO:0009987
GO:0002253,is_a,GO:0002376
